,For,Party,Title(s),address,link,name,office
0,"Warringah, New South Wales",Liberal Party of Australia,,"Level 2, 17 Sydney Road
                                             Manly, NSW, 2095",/Senators_and_Members/Parliamentarian?MPID=EZ5,Hon Tony Abbott MP,1.0
1,"Grayndler, New South Wales",Australian Labor Party,,"334A Marrickville Road
                                             Marrickville, NSW, 2204",/Senators_and_Members/Parliamentarian?MPID=R36,Hon Anthony Albanese MP,1.0
2,"Bennelong, New South Wales",Liberal Party of Australia,,"Suite 1, 44 - 46 Oxford St
                                             Epping, NSW, 2121",/Senators_and_Members/Parliamentarian?MPID=M3M,"Mr John Alexander OAM, MP",1.0
3,"Cowan, Western Australia",Australian Labor Party,,"Shop 3, Kingsway Shopping Centre
                                             168 Wanneroo Road
                                                 Madeley, WA, 6065",/Senators_and_Members/Parliamentarian?MPID=13050,Dr Anne Aly MP,1.0
4,"McPherson, Queensland",Liberal Party of Australia,Assistant Minister for Vocational Education and Skills,"Ground Floor The Point 47 Watts Drive
                                             Varsity Lakes, QLD, 4227",/Senators_and_Members/Parliamentarian?MPID=230886,Hon Karen Andrews MP,1.0
5,"Menzies, Victoria",Liberal Party of Australia,,"1st Floor 651-653 Doncaster Road
                                             Doncaster, VIC, 3108",/Senators_and_Members/Parliamentarian?MPID=HK5,Hon Kevin Andrews MP,1.0
6,"Melbourne, Victoria",Australian Greens,,"296 Brunswick Street
                                             Fitzroy, VIC, 3065",/Senators_and_Members/Parliamentarian?MPID=M3C,Mr Adam Bandt MP,1.0
7,"Chisholm, Victoria",Liberal Party of Australia,,"Level 4, South West Wing
                                             Melbourne CPO 4 Treasury Place
                                                 East Melbourne, VIC, 3001",/Senators_and_Members/Parliamentarian?MPID=18661,Ms Julia Banks MP,1.0
8,"Cunningham, New South Wales",Australian Labor Party,,"74 Crown Street
                                             Wollongong, NSW, 2500",/Senators_and_Members/Parliamentarian?MPID=DZP,Hon Sharon Bird MP,1.0
9,"Curtin, Western Australia",Liberal Party of Australia,Minister for Foreign Affairs,"414 Rokeby Road
                                             Subiaco, WA, 6008",/Senators_and_Members/Parliamentarian?MPID=83P,Hon Julie Bishop MP,1.0
10,"McMahon, New South Wales",Australian Labor Party,,"Shops 3 & 4
                                             398 Hamilton Road
                                                 Fairfield, NSW, 2165",/Senators_and_Members/Parliamentarian?MPID=DZS,Hon Chris Bowen MP,1.0
11,"Mallee, Victoria",The Nationals,,"Suite 1, Level 1
                                             146 Eighth Street
                                                 Mildura, VIC, 3500",/Senators_and_Members/Parliamentarian?MPID=30379,Mr Andrew Broad MP,1.0
12,"Mallee, Victoria",The Nationals,,"Shop 1
                                             60 Campbell Street
                                                 Swan Hill, VIC, 3585",/Senators_and_Members/Parliamentarian?MPID=30379,Mr Andrew Broad MP,2.0
13,"McMillan, Victoria",Liberal Party of Australia,,"46C Albert Street
                                             Warragul, VIC, 3820",/Senators_and_Members/Parliamentarian?MPID=MT4,Mr Russell Broadbent MP,1.0
14,"Canberra, Australian Capital Territory",Australian Labor Party,,"205 Anketell St
                                             Tuggeranong, ACT, 2900",/Senators_and_Members/Parliamentarian?MPID=30540,Ms Gai Brodtmann MP,1.0
15,"Wright, Queensland",Liberal Party of Australia,,"21 William Street
                                             Beaudesert, QLD, 4285",/Senators_and_Members/Parliamentarian?MPID=230531,Mr Scott Buchholz MP,1.0
16,"Watson, New South Wales",Australian Labor Party,Manager of Opposition Business,"Shop G29, Centro Roselands
                                             Roselands Drive
                                                 Roselands, NSW, 2196",/Senators_and_Members/Parliamentarian?MPID=DYW,Hon Tony Burke MP,1.0
17,"Barton, New South Wales",Australian Labor Party,,"Suite 203/13A, Montgomery Street
                                             Kogarah, NSW, 2217",/Senators_and_Members/Parliamentarian?MPID=8GH,Hon Linda Burney MP,1.0
18,"Port Adelaide, South Australia",Australian Labor Party,,"21 Commercial Road
                                             Port Adelaide, SA, 5015",/Senators_and_Members/Parliamentarian?MPID=HWK,Hon Mark Butler MP,1.0
19,"Griffith, Queensland",Australian Labor Party,,"630 Wynnum Road
                                             Morningside, QLD, 4170",/Senators_and_Members/Parliamentarian?MPID=248006,Ms Terri Butler MP,1.0
20,"Holt, Victoria",Australian Labor Party,,"Shop HM 2B
                                             8-10 Overland Drive
                                                 Fountain Gate, VIC, 3805",/Senators_and_Members/Parliamentarian?MPID=008K0,Hon Anthony Byrne MP,1.0
21,"Rankin, Queensland",Australian Labor Party,,"Shop 65 Logan Central Plaza
                                             Wembley Road
                                                 Woodridge, QLD, 4114",/Senators_and_Members/Parliamentarian?MPID=37998,Dr Jim Chalmers MP,1.0
22,"Wakefield, South Australia",Australian Labor Party,,"Shop 89, 600 Main North Road
                                             Smithfield, SA, 5114",/Senators_and_Members/Parliamentarian?MPID=HW9,Mr Nick Champion MP,1.0
23,"Gippsland, Victoria",The Nationals,Minister for Infrastructure and Transport,"Level 1, 89 Raymond Street
                                             Sale, VIC, 3850",/Senators_and_Members/Parliamentarian?MPID=IPZ,Hon Darren Chester MP,1.0
24,"Gippsland, Victoria",The Nationals,Minister for Infrastructure and Transport,"126 Franklin Street
                                             Traralgon, VIC, 3844",/Senators_and_Members/Parliamentarian?MPID=IPZ,Hon Darren Chester MP,2.0
25,"Bendigo, Victoria",Australian Labor Party,,"Cnr. Williamson & Myers Streets
                                             Bendigo, VIC, 3550",/Senators_and_Members/Parliamentarian?MPID=249710,Ms Lisa Chesters MP,1.0
